Title:,"Time Series, Area-Averaged of Aerosol Absorption Optical Depth 463 nm daily 0.25 (daily)"
User Start Date:,2024-06-01T00:00:00Z
User End Date:,2024-12-01T23:59:59Z
User Bounding Box:,"7,47,8,48"
Data Bounding Box:,"7.125,47.125,7.875,47.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2024-06-01T00:00:00Z&endtime=2024-12-01T23:59:59Z&bbox=7,47,8,48&data=OMAEROe_003_AbsorbingAerosolOpticalThicknessMW_463_0%2CMOD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean%2CMYD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean%2CMYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean%2CMOD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean&portal=GIOVANNI&format=json"
Fill Value (mean_OMAEROe_003_AbsorbingAerosolOpticalThicknessMW_463_0):, -32767

time, mean_OMAEROe_003_AbsorbingAerosolOpticalThicknessMW_463_0
2024-06-01,-32767
2024-06-02,-32767
2024-06-03,-32767
2024-06-04,-32767
2024-06-05,-32767
2024-06-06,-32767
2024-06-07,0.0627964281
2024-06-08,-32767
2024-06-09,-32767
2024-06-10,-32767
2024-06-11,0.014
2024-06-12,-32767
2024-06-13,-32767
2024-06-14,-32767
2024-06-15,-32767
2024-06-16,-32767
2024-06-17,-32767
2024-06-18,-32767
2024-06-19,0.039
2024-06-20,-32767
2024-06-21,-32767
2024-06-22,-32767
2024-06-23,-32767
2024-06-24,-32767
2024-06-25,-32767
2024-06-26,-32767
2024-06-27,-32767
2024-06-28,-32767
2024-06-29,-32767
2024-06-30,-32767
2024-07-01,-32767
2024-07-02,-32767
2024-07-03,-32767
2024-07-04,-32767
2024-07-05,-32767
2024-07-06,-32767
2024-07-07,0.0240071422
2024-07-08,0.02107174
2024-07-09,-32767
2024-07-10,0.052
2024-07-11,-32767
2024-07-12,-32767
2024-07-13,-32767
2024-07-14,-32767
2024-07-15,0.043
2024-07-16,-32767
2024-07-17,-32767
2024-07-18,0.00877341243
2024-07-19,0.00950595451
2024-07-20,0.0396935392
2024-07-21,-32767
2024-07-22,-32767
2024-07-23,-32767
2024-07-24,-32767
2024-07-25,0.0102049345
2024-07-26,-32767
2024-07-27,0.052
2024-07-28,-32767
2024-07-29,0.0083269521
2024-07-30,0.003
2024-07-31,-32767
2024-08-01,-32767
2024-08-02,-32767
2024-08-03,0.0348613716
2024-08-04,-32767
2024-08-05,-32767
2024-08-06,0.002
2024-08-07,-32767
2024-08-08,0.017
2024-08-09,-32767
2024-08-10,0.00418347449
2024-08-11,-32767
2024-08-12,-32767
2024-08-13,0
2024-08-14,-32767
2024-08-15,0.0204201078
2024-08-16,-32767
2024-08-17,-32767
2024-08-18,-32767
2024-08-19,-32767
2024-08-20,0.045
2024-08-21,-32767
2024-08-22,0.00335932051
2024-08-23,-32767
2024-08-24,-32767
2024-08-25,-32767
2024-08-26,-32767
2024-08-27,0.0127708449
2024-08-28,-32767
2024-08-29,0.00819543995
2024-08-30,-32767
2024-08-31,-32767
2024-09-01,0.0136402122
2024-09-02,-32767
2024-09-03,-32767
2024-09-04,-32767
2024-09-05,-32767
2024-09-06,-32767
2024-09-07,-32767
2024-09-08,-32767
2024-09-09,-32767
2024-09-10,-32767
2024-09-11,-32767
2024-09-12,-32767
2024-09-13,-32767
2024-09-14,-32767
2024-09-15,0.00179898409
2024-09-16,-32767
2024-09-17,-32767
2024-09-18,-32767
2024-09-19,-32767
2024-09-20,0.007
2024-09-21,-32767
2024-09-22,-32767
2024-09-23,-32767
2024-09-24,-32767
2024-09-25,-32767
2024-09-26,-32767
2024-09-27,-32767
2024-09-28,-32767
2024-09-29,-32767
2024-09-30,-32767
2024-10-01,-32767
2024-10-02,-32767
2024-10-03,-32767
2024-10-04,-32767
2024-10-05,-32767
2024-10-06,-32767
2024-10-07,-32767
2024-10-08,-32767
2024-10-09,-32767
2024-10-10,-32767
2024-10-11,-32767
2024-10-12,-32767
2024-10-13,-32767
2024-10-14,-32767
2024-10-15,-32767
2024-10-16,-32767
2024-10-17,-32767
2024-10-18,-32767
2024-10-19,0.0279904347
2024-10-20,-32767
2024-10-21,0.001
2024-10-22,-32767
2024-10-23,-32767
2024-10-24,-32767
2024-10-25,-32767
2024-10-26,-32767
2024-10-27,-32767
2024-10-28,-32767
2024-10-29,0
2024-10-30,-32767
2024-10-31,-32767
2024-11-01,-32767
2024-11-02,-32767
2024-11-03,-32767
2024-11-04,-32767
2024-11-05,-32767
2024-11-06,-32767
2024-11-07,-32767
2024-11-08,-32767
2024-11-09,-32767
2024-11-10,-32767
2024-11-11,-32767
2024-11-12,-32767
2024-11-13,-32767
2024-11-14,-32767
2024-11-15,-32767
2024-11-16,-32767
2024-11-17,-32767
2024-11-18,-32767
2024-11-19,-32767
2024-11-20,-32767
2024-11-21,-32767
2024-11-22,-32767
2024-11-23,-32767
2024-11-24,-32767
2024-11-25,-32767
2024-11-26,-32767
2024-11-27,-32767
2024-11-28,-32767
2024-11-29,-32767
2024-11-30,-32767
2024-12-01,0.00649880964
