Title:,"Time Series, Area-Averaged of Aerosol Optical Depth 550 nm (Deep Blue, Land-only) daily (daily)"
User Start Date:,2024-08-01T00:00:00Z
User End Date:,2024-11-30T23:59:59Z
User Bounding Box:,"7,47,8,48"
Data Bounding Box:,"7.5,47.5,7.5,47.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2024-08-01T00:00:00Z&endtime=2024-11-30T23:59:59Z&bbox=7,47,8,48&data=OMAEROe_003_AerosolOpticalThicknessMW_483_5%2CMOD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean%2CMOD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean%2CMYD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean%2CMYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean%2COMAERUVd_003_FinalAerosolOpticalDepth500%2COMAERUVd_003_FinalAerosolAbsOpticalDepth500&portal=GIOVANNI&format=json"
Fill Value (MYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean):, -9999

time, MYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean
2024-08-01,-9999
2024-08-02,0.175000008
2024-08-03,0.312000015
2024-08-04,-9999
2024-08-05,0.0460000022
2024-08-06,0.0790000038
2024-08-07,-9999
2024-08-08,0.063000003
2024-08-09,0.0880000042
2024-08-10,0.0410000019
2024-08-11,0.121000006
2024-08-12,0.21900001
2024-08-13,0.0610000029
2024-08-14,0.143000007
2024-08-15,0.0780000037
2024-08-16,0.192000009
2024-08-17,0.222000011
2024-08-18,-9999
2024-08-19,0.348000017
2024-08-20,0.0810000038
2024-08-21,0.0990000047
2024-08-22,0.0660000031
2024-08-23,0.127000006
2024-08-24,0.134000006
2024-08-25,-9999
2024-08-26,-9999
2024-08-27,0.0600000028
2024-08-28,0.111000005
2024-08-29,0.177000008
2024-08-30,0.312000015
2024-08-31,0.233000011
2024-09-01,0.189000009
2024-09-02,0.111000005
2024-09-03,-9999
2024-09-04,-9999
2024-09-05,-9999
2024-09-06,0.0360000017
2024-09-07,0.0350000017
2024-09-08,-9999
2024-09-09,-9999
2024-09-10,-9999
2024-09-11,-9999
2024-09-12,-9999
2024-09-13,-9999
2024-09-14,-9999
2024-09-15,0.0440000021
2024-09-16,-9999
2024-09-17,-9999
2024-09-18,-9999
2024-09-19,0.0810000038
2024-09-20,0.0740000035
2024-09-21,0.0470000022
2024-09-22,-9999
2024-09-23,-9999
2024-09-24,-9999
2024-09-25,-9999
2024-09-26,-9999
2024-09-27,-9999
2024-09-28,-9999
2024-09-29,-9999
2024-09-30,-9999
2024-10-01,-9999
2024-10-02,-9999
2024-10-03,-9999
2024-10-04,-9999
2024-10-05,-9999
2024-10-06,0.0510000024
2024-10-07,-9999
2024-10-08,-9999
2024-10-09,-9999
2024-10-10,-9999
2024-10-11,-9999
2024-10-12,-9999
2024-10-13,-9999
2024-10-14,-9999
2024-10-15,-9999
2024-10-16,-9999
2024-10-17,-9999
2024-10-18,-9999
2024-10-19,-9999
2024-10-20,-9999
2024-10-21,0.0230000011
2024-10-22,-9999
2024-10-23,-9999
2024-10-24,-9999
2024-10-25,0.0700000033
2024-10-26,-9999
2024-10-27,0.0500000024
2024-10-28,0.0230000011
2024-10-29,0.0460000022
2024-10-30,-9999
2024-10-31,0.0540000026
2024-11-01,0.0470000022
2024-11-02,-9999
2024-11-03,0.0800000038
2024-11-04,0.0450000021
2024-11-05,0.0320000015
2024-11-06,-9999
2024-11-07,-9999
2024-11-08,0.113000005
2024-11-09,0.161000008
2024-11-10,-9999
2024-11-11,0.106000005
2024-11-12,-9999
2024-11-13,-9999
2024-11-14,0.0460000022
2024-11-15,-9999
2024-11-16,0.0540000026
2024-11-17,-9999
2024-11-18,-9999
2024-11-19,-9999
2024-11-20,-9999
2024-11-21,-9999
2024-11-22,-9999
2024-11-23,-9999
2024-11-24,-9999
2024-11-25,-9999
2024-11-26,-9999
2024-11-27,-9999
2024-11-28,-9999
2024-11-29,-9999
2024-11-30,-9999
