Title:,"Time Series, Area-Averaged of Aerosol Absorption Optical Depth 500 nm daily 1 (daily)"
User Start Date:,2024-08-01T00:00:00Z
User End Date:,2024-11-30T23:59:59Z
User Bounding Box:,"7,47,8,48"
Data Bounding Box:,"7.5,47.5,7.5,47.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2024-08-01T00:00:00Z&endtime=2024-11-30T23:59:59Z&bbox=7,47,8,48&data=OMAEROe_003_AerosolOpticalThicknessMW_483_5%2CMOD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean%2CMOD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean%2CMYD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean%2CMYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean%2COMAERUVd_003_FinalAerosolOpticalDepth500%2COMAERUVd_003_FinalAerosolAbsOpticalDepth500&portal=GIOVANNI&format=json"
Fill Value (OMAERUVd_003_FinalAerosolAbsOpticalDepth500):, -1.267651e+30

time, OMAERUVd_003_FinalAerosolAbsOpticalDepth500
2024-08-01,-1.267651e+30
2024-08-02,-1.267651e+30
2024-08-03,-1.267651e+30
2024-08-04,-1.267651e+30
2024-08-05,0.00779999979
2024-08-06,0.0182000007
2024-08-07,-1.267651e+30
2024-08-08,0.0126999998
2024-08-09,-1.267651e+30
2024-08-10,0.0222999994
2024-08-11,-1.267651e+30
2024-08-12,-1.267651e+30
2024-08-13,0.0109999999
2024-08-14,-1.267651e+30
2024-08-15,0.00700000022
2024-08-16,-1.267651e+30
2024-08-17,-1.267651e+30
2024-08-18,-1.267651e+30
2024-08-19,-1.267651e+30
2024-08-20,0.00540000014
2024-08-21,-1.267651e+30
2024-08-22,0.00689999992
2024-08-23,-1.267651e+30
2024-08-24,0.0152000003
2024-08-25,-1.267651e+30
2024-08-26,-1.267651e+30
2024-08-27,0.00769999996
2024-08-28,-1.267651e+30
2024-08-29,0.0105999997
2024-08-30,0.0137
2024-08-31,-1.267651e+30
2024-09-01,0.0153000001
2024-09-02,-1.267651e+30
2024-09-03,-1.267651e+30
2024-09-04,-1.267651e+30
2024-09-05,-1.267651e+30
2024-09-06,0.0110999998
2024-09-07,0.00779999979
2024-09-08,-1.267651e+30
2024-09-09,-1.267651e+30
2024-09-10,-1.267651e+30
2024-09-11,-1.267651e+30
2024-09-12,-1.267651e+30
2024-09-13,-1.267651e+30
2024-09-14,-1.267651e+30
2024-09-15,0.00389999989
2024-09-16,-1.267651e+30
2024-09-17,-1.267651e+30
2024-09-18,-1.267651e+30
2024-09-19,-1.267651e+30
2024-09-20,0.0144999996
2024-09-21,-1.267651e+30
2024-09-22,-1.267651e+30
2024-09-23,-1.267651e+30
2024-09-24,-1.267651e+30
2024-09-25,-1.267651e+30
2024-09-26,-1.267651e+30
2024-09-27,-1.267651e+30
2024-09-28,-1.267651e+30
2024-09-29,-1.267651e+30
2024-09-30,0.0205000006
2024-10-01,-1.267651e+30
2024-10-02,-1.267651e+30
2024-10-03,-1.267651e+30
2024-10-04,-1.267651e+30
2024-10-05,-1.267651e+30
2024-10-06,-1.267651e+30
2024-10-07,0.0121999998
2024-10-08,-1.267651e+30
2024-10-09,-1.267651e+30
2024-10-10,-1.267651e+30
2024-10-11,-1.267651e+30
2024-10-12,-1.267651e+30
2024-10-13,-1.267651e+30
2024-10-14,-1.267651e+30
2024-10-15,-1.267651e+30
2024-10-16,-1.267651e+30
2024-10-17,-1.267651e+30
2024-10-18,-1.267651e+30
2024-10-19,-1.267651e+30
2024-10-20,-1.267651e+30
2024-10-21,0.0109999999
2024-10-22,-1.267651e+30
2024-10-23,-1.267651e+30
2024-10-24,-1.267651e+30
2024-10-25,-1.267651e+30
2024-10-26,-1.267651e+30
2024-10-27,-1.267651e+30
2024-10-28,0.00620000018
2024-10-29,0.00209999993
2024-10-30,-1.267651e+30
2024-10-31,-1.267651e+30
2024-11-01,-1.267651e+30
2024-11-02,-1.267651e+30
2024-11-03,-1.267651e+30
2024-11-04,-1.267651e+30
2024-11-05,0.00190000003
2024-11-06,-1.267651e+30
2024-11-07,-1.267651e+30
2024-11-08,-1.267651e+30
2024-11-09,-1.267651e+30
2024-11-10,-1.267651e+30
2024-11-11,-1.267651e+30
2024-11-12,-1.267651e+30
2024-11-13,-1.267651e+30
2024-11-14,0.00329999998
2024-11-15,0.0187999997
2024-11-16,-1.267651e+30
2024-11-17,-1.267651e+30
2024-11-18,-1.267651e+30
2024-11-19,-1.267651e+30
2024-11-20,-1.267651e+30
2024-11-21,-1.267651e+30
2024-11-22,-1.267651e+30
2024-11-23,-1.267651e+30
2024-11-24,-1.267651e+30
2024-11-25,-1.267651e+30
2024-11-26,-1.267651e+30
2024-11-27,-1.267651e+30
2024-11-28,-1.267651e+30
2024-11-29,-1.267651e+30
2024-11-30,-1.267651e+30
